Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
ANT,Mercedes,18.0,,,,,4.0,SOFT,2.0,125,Australian Grand Prix,FP3,2026
ALO,Aston Martin,1.0,0 days 00:01:43.389000,0 days 00:00:40.330000,0 days 00:00:21.553000,0 days 00:00:41.506000,1.0,MEDIUM,1.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,2.0,0 days 00:01:26.040000,0 days 00:00:30.566000,0 days 00:00:18.763000,0 days 00:00:36.711000,1.0,MEDIUM,2.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,3.0,0 days 00:01:41.774000,0 days 00:00:38.174000,0 days 00:00:21.138000,0 days 00:00:42.462000,1.0,MEDIUM,3.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,4.0,0 days 00:01:24.101000,0 days 00:00:29.731000,0 days 00:00:18.233000,0 days 00:00:36.137000,1.0,MEDIUM,4.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,5.0,,0 days 00:00:33.766000,0 days 00:00:20.937000,,1.0,MEDIUM,5.0,126,Australian Grand Prix,FP3,2026
ALO,Aston Martin,6.0,,,,,2.0,MEDIUM,6.0,6512,Australian Grand Prix,FP3,2026
ALO,Aston Martin,7.0,0 days 00:02:02.162000,0 days 00:00:53.721000,0 days 00:00:21.026000,0 days 00:00:47.415000,3.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,8.0,0 days 00:01:23.717000,0 days 00:00:29.507000,0 days 00:00:18.317000,0 days 00:00:35.893000,3.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,9.0,0 days 00:01:43.393000,0 days 00:00:35.049000,0 days 00:00:20.831000,0 days 00:00:47.513000,3.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,10.0,0 days 00:01:22.972000,0 days 00:00:29.272000,0 days 00:00:18.176000,0 days 00:00:35.524000,3.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
ALO,Aston Martin,11.0,,0 days 00:00:33.927000,0 days 00:00:20.438000,,3.0,SOFT,5.0,12,Australian Grand Prix,FP3,2026
ALO,Aston Martin,12.0,0 days 00:01:47.836000,0 days 00:00:47.016000,0 days 00:00:21.058000,0 days 00:00:39.762000,4.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026
